model,nobs,r2,b_const,se_const,p_const,b_saiz_elasticity,se_saiz_elasticity,p_saiz_elasticity,shock_def,K_lags,horizon_q,states_in_sens,states_with_saiz,b_permits_sens_1y,se_permits_sens_1y,p_permits_sens_1y
price~saiz,42,0.0018726711663676898,0.09488232731475846,0.10915423703567037,0.3847103706391892,0.009654727720167039,0.033895893568436364,0.7757707625341848,dev_ma8q,4,4,51,42,,,
price~permits,51,0.0775473374452732,0.15342637786278793,0.0547114729731021,0.005042883695467165,,,,dev_ma8q,4,4,51,42,0.011983967220784302,0.007516652873020553,0.11086386773928428
price~saiz+permits,42,0.11981212244952544,0.10209568949522974,0.10710303085862612,0.34046471742290996,0.02211716957023283,0.030305783244567508,0.46551226377731114,dev_ma8q,4,4,51,42,0.009667271598140278,0.004036589949575357,0.016624423303817446
price~saiz,42,0.02441342077239561,-0.12470154700699579,0.14186115102216065,0.3793798906845155,0.04450698176390864,0.042573496417081906,0.2958310983982938,dev_ma8q,6,4,51,42,,,
price~permits,51,0.04764701991551479,0.029103033967535292,0.06384061125422884,0.6484833000584906,,,,dev_ma8q,6,4,51,42,0.011049156573788108,0.00932983168920152,0.2363012463518972
price~saiz+permits,42,0.06664851133736671,-0.11919030529376565,0.14443497030659785,0.409247961896009,0.054028689901444306,0.04068813710415882,0.18421997459210881,dev_ma8q,6,4,51,42,0.007386107774961778,0.004849323231823199,0.127728346899484
price~saiz,42,0.03311226953241275,-0.15598923155668493,0.1548364438860801,0.31372088147054844,0.05788575572876441,0.04617041655032602,0.2099360696533109,dev_ma8q,8,4,51,42,,,
price~permits,51,0.038576735350314584,0.03481366159208958,0.06808573530912228,0.6091263506406475,,,,dev_ma8q,8,4,51,42,0.01030340059953292,0.009516803334172638,0.2789622434507173
price~saiz+permits,42,0.06477442376598375,-0.1506602234382239,0.15766740507091132,0.33929599587788983,0.06709262100646306,0.0446934293945613,0.1333105233950597,dev_ma8q,8,4,51,42,0.007141880241273142,0.005707183206550114,0.21079425269611995
price~saiz,42,0.0030053546992726554,0.030322612609460807,0.10201920520302951,0.7662950782521101,0.011777712297373817,0.03178449711298481,0.7109735049237238,dev_ma12q,4,4,51,42,,,
price~permits,51,0.05689354951288794,0.09060046613093473,0.05587686728627731,0.10492530846518276,,,,dev_ma12q,4,4,51,42,0.01067642688327744,0.0069354691695334885,0.12370788266156083
price~saiz+permits,42,0.09793781914389033,0.036554496734077443,0.10118446244012211,0.7179006763831906,0.022544465938227048,0.029031890864490362,0.4374293707955964,dev_ma12q,4,4,51,42,0.008351905102437392,0.0038607499195996097,0.030519212060613372
price~saiz,42,0.023623874156967206,-0.1420747004898837,0.13291445647299432,0.2851064660673056,0.0408953503118331,0.03982284130648594,0.30445248203983677,dev_ma12q,6,4,51,42,,,
price~permits,51,0.03329816600059132,-0.0037680701224423446,0.06269158381417703,0.9520721033108074,,,,dev_ma12q,6,4,51,42,0.009088012859255135,0.008371720744440309,0.27767329829683807
price~saiz+permits,42,0.05649859775770094,-0.13753289693372547,0.13579024469737863,0.3111397382116232,0.04874217143309606,0.038164107873060835,0.2015411465699507,dev_ma12q,6,4,51,42,0.006086877024093966,0.004473004152007261,0.1735759850570301
price~saiz,42,0.030390554904943134,-0.16124761094600704,0.14696040702116295,0.2725460853711841,0.051857455392771964,0.043874016514072224,0.23722046181486423,dev_ma12q,8,4,51,42,,,
price~permits,51,0.023780188525089785,0.006035807590042353,0.06672510357434153,0.9279234090897929,,,,dev_ma12q,8,4,51,42,0.007946720382455679,0.008581236961272862,0.35441600609868573
price~saiz+permits,42,0.052496666874003006,-0.15708374260776073,0.15010571409949428,0.29533604657700674,0.059051322238555665,0.04234437256424017,0.16315174225799345,dev_ma12q,8,4,51,42,0.00558037224772934,0.00526199263573301,0.28891467906769286
price~saiz,42,0.010509877548454005,0.2451958599976463,0.2059292274811842,0.23377914186150361,0.043536345627331996,0.05503335231809383,0.42889135819434154,qoq_change,4,4,51,42,,,
price~permits,51,0.12984285779243843,0.43663774382766274,0.08721747713141505,5.548332287649273e-07,,,,qoq_change,4,4,51,42,0.02277576069291926,0.014184717744391211,0.10834976903484436
price~saiz+permits,42,0.0914452858385878,0.2565700726521219,0.2044727371428817,0.2095554888569119,0.06318744039426942,0.05623822763358232,0.26119658350143293,qoq_change,4,4,51,42,0.015243599336174626,0.0075893218714326305,0.04458394286071563
price~saiz,42,0.016599412694816573,0.19367831800253013,0.20319410475415428,0.34050445946371244,0.054711601884823276,0.053990623395403434,0.31089121168461076,qoq_change,6,4,51,42,,,
price~permits,51,0.12654004594880097,0.4094374232774317,0.08574695502959458,1.797519054494158e-06,,,,qoq_change,6,4,51,42,0.02252052560791911,0.014262638261206365,0.11433895515918689
price~saiz+permits,42,0.08855128535560464,0.204402224991269,0.20194012655507515,0.3114461553958493,0.07323917112493283,0.05600227592493425,0.19094482141785285,qoq_change,6,4,51,42,0.014372066570288031,0.007683474751258022,0.06141212298970411
price~saiz,42,0.03269534954238229,0.09292037975157127,0.2189395126474855,0.6712659591745516,0.08387809946208001,0.057595934505375423,0.1453042362059671,qoq_change,8,4,51,42,,,
price~permits,51,0.10629973214453203,0.3916494504748965,0.09329118719480758,2.6911642814617572e-05,,,,qoq_change,8,4,51,42,0.02214376190753908,0.015060483078232673,0.14147452392236007
price~saiz+permits,42,0.08876762572002606,0.10326176222407013,0.2197477474802906,0.6384190001809741,0.10174478554942447,0.061867693104802314,0.100061741667046,qoq_change,8,4,51,42,0.013859411264908885,0.008588007275355209,0.1065686639258653
price~saiz,42,0.00457922205953698,0.12950498913370478,0.07145217756861508,0.06991347382886004,-0.009691580036120369,0.022322573447090373,0.6641718820299551,yoy_change,4,4,51,42,,,
price~permits,51,0.09364939974208497,0.11644699780968683,0.03615430771392958,0.0012781847634984525,,,,yoy_change,4,4,51,42,0.00918829850253989,0.005413152060787552,0.0896205671529658
price~saiz+permits,42,0.1355884186219447,0.13438531188970848,0.06864838704837338,0.050278285596558586,-0.0012599032348488406,0.01932328841849439,0.9480137380450049,yoy_change,4,4,51,42,0.006540556870498064,0.0022728089454976817,0.004005330641167625
price~saiz,42,0.005089519556459088,-0.04313479911511619,0.09787608442722452,0.659424214120794,0.01382216875791372,0.03000437673871619,0.6450341254884153,yoy_change,6,4,51,42,,,
price~permits,51,0.06176948871516752,0.014013917423523507,0.04378788252787406,0.7489372552499743,,,,yoy_change,6,4,51,42,0.008720435784950529,0.005820510018086573,0.1340747058731615
price~saiz+permits,42,0.07506202301976594,-0.038309764626649326,0.09676513360468186,0.6921753837136957,0.02215832466311342,0.02706132506218308,0.41288974093147846,yoy_change,6,4,51,42,0.006466460119898642,0.003005455413171893,0.031430911376822766
price~saiz,42,7.562460260790438e-06,0.07084648613629713,0.10073450606231821,0.4818693795986778,0.0006116534948922886,0.03192439354619168,0.9847139140441115,yoy_change,8,4,51,42,,,
price~permits,51,0.023586279287703737,0.08777332098465561,0.05628999113184353,0.11892397200567562,,,,yoy_change,8,4,51,42,0.006555292929560029,0.004628041367769619,0.15664987981366957
price~saiz+permits,42,0.07918239838885555,0.07673853599648056,0.09767434623519014,0.43206844826690394,0.010791279433961213,0.028934352073820176,0.7091801830572005,yoy_change,8,4,51,42,0.007896462820400922,0.004047078759884578,0.05103905501721684
